Player_Name,FDFP
"Aaron Harrison","1.2"
"Adreian Payne","4.6"
"Al Jefferson","52"
"Al-Farouq Aminu","33.9"
"Alec Burks","22"
"Alex Len","17.8"
"Alexis Ajinca","11.6"
"Allen Crabbe","5.5"
"Alonzo Gee","7.2"
"Amir Johnson","19.4"
"Andre Drummond","36.2"
"Andre Iguodala","20.5"
"Andre Roberson","7.9"
"Andrea Bargnani","8.9"
"Andrew Bogut","17.8"
"Andrew Wiggins","29.5"
"Anthony Davis","49.1"
"Anthony Morrow","8.6"
"Anthony Tolliver","4.4"
"Archie Goodwin","0"
"Aron Baynes","24.7"
"Arron Afflalo","14.9"
"Austin Rivers","14.7"
"Avery Bradley","28.6"
"Bismack Biyombo","7.8"
"Blake Griffin","36.9"
"Boban Marjanovic","1"
"Bojan Bogdanovic","8.2"
"Boris Diaw","14.8"
"Brandon Bass","15"
"Brandon Knight","61.2"
"Brian Roberts","6.5"
"Brook Lopez","23.4"
"Carmelo Anthony","33.5"
"Chandler Parsons","12.4"
"Charlie Villanueva","0"
"Chris Johnson","0"
"Chris Paul","26.4"
"Christian Wood","2"
"CJ McCollum","24.9"
"Cliff Alexander","4.4"
"Clint Capela","11.4"
"Corey Brewer","3"
"Cory Joseph","20.2"
"Courtney Lee","14.3"
"D'Angelo Russell","28"
"D.J. Augustin","1"
"Damian Lillard","40.3"
"Damjan Rudez","1.2"
"Danilo Gallinari","36"
"Danny Green","20.1"
"Dante Cunningham","9"
"Darrell Arthur","13.1"
"David Lee","20.1"
"David West","9.4"
"DeAndre Jordan","34.5"
"DeMar DeRozan","24.8"
"DeMarre Carroll","26.4"
"Deron Williams","45.2"
"Derrick Favors","26.4"
"Derrick Williams","14.6"
"Devin Booker","1.7"
"Devin Harris","8.7"
"Dion Waiters","24.3"
"Dirk Nowitzki","33.8"
"Doug McDermott","4.2"
"Draymond Green","24.3"
"Dwight Howard","35.5"
"Dwight Powell","23.3"
"E'Twaun Moore","15"
"Ed Davis","35"
"Emmanuel Mudiay","39.1"
"Enes Kanter","25.1"
"Eric Bledsoe","29.7"
"Eric Gordon","18.2"
"Ersan Ilyasova","12.2"
"Evan Turner","28.5"
"Festus Ezeli","23.3"
"Frank Kaminsky","21.1"
"Gary Harris","21.4"
"Gerald Henderson","12.7"
"Gordon Hayward","35.4"
"Gorgui Dieng","14.8"
"Harrison Barnes","33.3"
"Hollis Thompson","16.8"
"Ian Clark","2.7"
"Isaiah Canaan","14.4"
"Isaiah Thomas","31.7"
"Ish Smith","39.3"
"Jae Crowder","33"
"Jahlil Okafor","18.4"
"JaKarr Sampson","8.6"
"Jamal Crawford","21.7"
"Jameer Nelson","14.9"
"James Ennis","1.2"
"James Harden","38.7"
"James Johnson","9.8"
"James Michael McAdoo","4.2"
"JaMychal Green","8.5"
"Jared Sullinger","19.3"
"Jarrett Jack","13.9"
"Jason Terry","7.1"
"Jeff Green","21.7"
"Jeff Withey","0"
"Jerami Grant","22.5"
"Jeremy Evans","0"
"Jeremy Lamb","20.6"
"Jeremy Lin","17.6"
"Jerian Grant","11.8"
"Jimmy Butler","54.3"
"JJ Hickson","20.9"
"JJ Redick","13.2"
"Joakim Noah","6.4"
"Joe Ingles","0"
"Joe Johnson","6.9"
"Jon Leuer","15"
"Jonas Jerebko","5.9"
"Jonas Valanciunas","8.6"
"Jonathon Simmons","1.2"
"Jordan Clarkson","22.3"
"Jose Calderon","29.3"
"Jose Juan Barea","20.3"
"Josh Smith","18.6"
"Jrue Holiday","24.1"
"Julius Randle","34.9"
"Karl-Anthony Towns","38.9"
"Kawhi Leonard","35"
"Kelly Olynyk","20.5"
"Kemba Walker","36.9"
"Kenneth Faried","12.9"
"Kentavious Caldwell-Pope","14.2"
"Kevin Garnett","8.8"
"Kevin Martin","17.9"
"Kevin Seraphin","5"
"Kirk Hinrich","22.9"
"KJ McDaniels","10"
"Klay Thompson","24.1"
"Kobe Bryant","23.3"
"Kostas Papanikolaou","0"
"Kristaps Porzingis","17.2"
"Kyle Anderson","8.9"
"Kyle Lowry","43.5"
"Kyle O'Quinn","1.5"
"Kyle Singler","5.4"
"LaMarcus Aldridge","38.2"
"Lance Stephenson","5.5"
"Lance Thomas","17.1"
"Langston Galloway","18.4"
"Larry Nance Jr.","5.4"
"Leandro Barbosa","4.5"
"Lou Williams","14.5"
"Luc Mbah a Moute","5.8"
"Luis Scola","18.5"
"Marc Gasol","51.7"
"Marcus Morris","33.2"
"Marcus Smart","15.4"
"Marcus Thornton","10.6"
"Mario Chalmers","21.3"
"Markel Brown","3.5"
"Markieff Morris","17"
"Marvin Williams","26.8"
"Mason Plumlee","34.5"
"Matt Barnes","28.4"
"Maurice Harkless","1.2"
"Metta World Peace","5.2"
"Mike Conley","41.1"
"Mirza Teletovic","25.5"
"Montrezl Harrell","-0.8"
"Nerlens Noel","24.8"
"Nick Collison","18.9"
"Nick Young","9"
"Nicolas Batum","19.3"
"Nik Stauskas","23.9"
"Nikola Jokic","14.3"
"Nikola Mirotic","38.5"
"Noah Vonleh","7.6"
"Omer Asik","8.4"
"Patrick Patterson","21.9"
"Patty Mills","19.7"
"Pau Gasol","35.5"
"Phil Pressey","3"
"PJ Tucker","13.8"
"Randy Foye","3.2"
"Rasual Butler","3.4"
"Raul Neto","9.9"
"Ray McCallum","2.4"
"Raymond Felton","7"
"Reggie Bullock","-1"
"Reggie Jackson","33.5"
"Ricky Rubio","20.7"
"RJ Hunter","5"
"Robert Covington","17.1"
"Robin Lopez","18.4"
"Rodney Hood","19.2"
"Rondae Hollis-Jefferson","30.2"
"Ronnie Price","15.9"
"Roy Hibbert","23.1"
"Rudy Gobert","28.9"
"Russ Smith","0"
"Russell Westbrook","59.9"
"Ryan Anderson","36.4"
"Sasha Vujacic","-1"
"Serge Ibaka","12.1"
"Sergey Karasev","7.5"
"Shabazz Muhammad","2.6"
"Shane Larkin","24.1"
"Shaun Livingston","10.1"
"Spencer Dinwiddie","12.2"
"Spencer Hawes","11"
"Stanley Johnson","17.9"
"Stephen Curry","41"
"Steven Adams","15.6"
"Taj Gibson","7.2"
"Tayshaun Prince","4.9"
"Terrence Jones","17.3"
"Terrence Ross","9.2"
"Thaddeus Young","31.5"
"Thomas Robinson","13.2"
"Tim Duncan","13"
"Tim Frazier","0"
"TJ McConnell","23.4"
"TJ Warren","3"
"Toney Douglas","6.3"
"Tony Allen","16.6"
"Tony Parker","25.5"
"Tony Snell","8.6"
"Trevor Ariza","29.3"
"Trevor Booker","9.4"
"Trey Burke","15.4"
"Trey Lyles","0"
"Troy Daniels","0"
"Ty Lawson","20.2"
"Tyler Hansbrough","9.7"
"Tyler Zeller","12.3"
"Tyson Chandler","5.8"
"Vince Carter","15.6"
"Wayne Ellington","3"
"Wesley Johnson","9.1"
"Wesley Matthews","11.7"
"Will Barton","25.8"
"Zach LaVine","20.6"
"Zaza Pachulia","38.4"
